cohort,source_count,encoder,policy,graph,scaling,family,equal_participant_nrmse,equal_participant_nmse,row_mean_nrmse,p95,p99,maximum,rows_above_one,participants,records
hcp83,8,qsf,random,individual,tanh3,bounded_residual,0.13341135984325134,0.01835820353290958,0.133421141645929,0.17143742938185236,0.19350856935013516,0.2390168553203153,0,729,3189
hcp83,8,qsf,random,individual,tanh3,ordinary,0.13595092611797877,0.019091986037579927,0.13596693834807602,0.1764680341721979,0.2018654528107558,0.2562848721267452,0,729,3189
hcp83,8,qsf,random,individual,tanh3,projection,0.13591839724184326,0.019081148609448973,0.13593590007220793,0.1763640950170254,0.2018654528107558,0.2561778450961945,0,729,3189
hcp83,8,qsf,random,individual,tanh3,residual,0.13350548759043265,0.01838354817704761,0.1335121481083165,0.17143742938185236,0.19350856935013516,0.2390168553203153,0,729,3189
hcp83,8,qsf,graph_coverage,individual,tanh3,bounded_residual,0.2247410846012181,0.05115267411748453,0.22493395189346738,0.26554598978914085,0.2882186417338041,0.4015567299933317,0,729,3189
hcp83,8,qsf,graph_coverage,individual,tanh3,ordinary,0.2271131761028318,0.05225678380498749,0.22728667507959233,0.2696371444756795,0.29020533685293154,0.395672478202087,0,729,3189
hcp83,8,qsf,graph_coverage,individual,tanh3,projection,0.22651469781099806,0.05196176904642956,0.22666762804100996,0.2687155962159847,0.2893492879276135,0.3677786920894972,0,729,3189
hcp83,8,qsf,graph_coverage,individual,tanh3,residual,0.22541192909126573,0.051479613803976136,0.22562989563768232,0.26622353186083336,0.2891830872525919,0.4341256442136489,0,729,3189
hcp83,8,qsf,sfh_fixed,individual,tanh3,bounded_residual,0.20747812741458885,0.044138207176724134,0.2076845694769804,0.2638984409842917,0.2890687090682009,0.4015567299933366,0,729,3189
hcp83,8,qsf,sfh_fixed,individual,tanh3,ordinary,0.20674147399317638,0.04400447305238088,0.20697962368100237,0.2652127737559358,0.2901548357154815,0.3956724782021539,0,729,3189
hcp83,8,qsf,sfh_fixed,individual,tanh3,projection,0.20627075488854388,0.04379072702927269,0.2064821606419909,0.2650421803446589,0.2895044863843721,0.3677786920895012,0,729,3189
hcp83,8,qsf,sfh_fixed,individual,tanh3,residual,0.20794420213465112,0.04435241916849449,0.20817272476945559,0.2640975290343883,0.2909535828712651,0.4341256442137359,0,729,3189
hcp83,8,qsf,spectral,individual,tanh3,bounded_residual,0.14842866769993102,0.022392623362841077,0.1485526180900375,0.17955776038013455,0.2101954215092416,0.3452739479112967,0,729,3189
hcp83,8,qsf,spectral,individual,tanh3,ordinary,0.14828739409618352,0.022358294487406387,0.14844525325173336,0.18161700063948047,0.21138097003136952,0.3128506426800334,0,729,3189
hcp83,8,qsf,spectral,individual,tanh3,projection,0.1481789231318687,0.02233140213171773,0.14832513388829696,0.18161700063948047,0.21238832945157715,0.3128506426800334,0,729,3189
hcp83,8,qsf,spectral,individual,tanh3,residual,0.14847499919222737,0.02240294764028543,0.14861204966047398,0.17955776038013455,0.2101954215092416,0.3452739479112967,0,729,3189
hcp83,8,qsf,qsf_discrimination,individual,tanh3,bounded_residual,0.12737236211907882,0.01665508988765358,0.1275311217212818,0.16566827846412255,0.18133016838378316,0.2267624460170881,0,729,3189
hcp83,8,qsf,qsf_discrimination,individual,tanh3,ordinary,0.13016223629602997,0.0173841554816906,0.1303067465758484,0.17010775587007812,0.18723376271146924,0.2098860565747318,0,729,3189
hcp83,8,qsf,qsf_discrimination,individual,tanh3,projection,0.12982898497744333,0.017297448292269823,0.12999160337286403,0.1696522094266255,0.18653965613528806,0.2098860565747318,0,729,3189
hcp83,8,qsf,qsf_discrimination,individual,tanh3,residual,0.12758103218763453,0.016707524680321627,0.12773276677699757,0.16589181845445333,0.1831074356568724,0.2267624460170881,0,729,3189
hcp83,8,qsf,heat_discrimination,individual,tanh3,bounded_residual,0.12277589785019447,0.015488892876355962,0.1228189473659398,0.1574905526528484,0.1785971512189897,0.2070859936022621,0,729,3189
hcp83,8,qsf,heat_discrimination,individual,tanh3,ordinary,0.12439771153509949,0.015922123442316517,0.12447002612253559,0.16055838314783163,0.18510785640334518,0.2116324624287351,0,729,3189
hcp83,8,qsf,heat_discrimination,individual,tanh3,projection,0.12428782350376988,0.01589073303935875,0.12435720395199863,0.1603396746848977,0.1849976894065781,0.2116324624287351,0,729,3189
