cohort,count,task,a,b,comparison,a_mean,b_mean,a_minus_b,ci_low,ci_high,a_reduction_percent,a_win_fraction,participants,records
hcp83,8,known,qsf,heat_raw18,hcp83_8_known_qsf_heat_raw18,0.13348052192966198,0.14748949813572368,-0.014008976206061683,-0.014422868539201727,-0.013619163441463593,9.498287256473187,0.9794238683127572,729,3189
hcp83,8,known,qsf,heat_norm18,hcp83_8_known_qsf_heat_norm18,0.13348052192966198,0.15335806953625156,-0.019877547606589566,-0.02034807628312322,-0.01940033625437723,12.961527011065318,0.9945130315500685,729,3189
hcp83,8,known,qsf,prob6,hcp83_8_known_qsf_prob6,0.13348052192966198,0.16463334783865569,-0.031152825908993712,-0.031590866003716314,-0.0307171790747511,18.922548996284863,1.0,729,3189
hcp83,8,known,qsf,amp12,hcp83_8_known_qsf_amp12,0.13348052192966198,0.13948053014861758,-0.0060000082189555935,-0.0062106871620022965,-0.00579410699297413,4.301681541188974,0.9835390946502057,729,3189
hcp83,8,known,qsf,prob18,hcp83_8_known_qsf_prob18,0.13348052192966198,0.16025530726823167,-0.026774785338569706,-0.0271769722707313,-0.02637488116333116,16.707581043637244,1.0,729,3189
hcp83,8,known,qsf,amp18,hcp83_8_known_qsf_amp18,0.13348052192966198,0.13721118823828482,-0.0037306663086228444,-0.003935455625528276,-0.003529848066543333,2.718922820013819,0.9190672153635117,729,3189
hcp83,8,known,qsf,shortest_path,hcp83_8_known_qsf_shortest_path,0.13348052192966198,0.19201460585316768,-0.05853408392350568,-0.059245319297660984,-0.057844175816806336,30.48418304608887,1.0,729,3189
hcp83,8,known,qsf,moments,hcp83_8_known_qsf_moments,0.13348052192966198,0.22245495419171182,-0.08897443226204982,-0.08977177364105834,-0.08816269477075843,39.996606317597056,1.0,729,3189
hcp83,8,unseen,qsf,heat_raw18,hcp83_8_unseen_qsf_heat_raw18,0.18789886166369754,0.19384010093544382,-0.005941239271746316,-0.006487802119611066,-0.005435661391132644,3.065020727431905,0.823045267489712,729,3189
hcp83,8,unseen,qsf,heat_norm18,hcp83_8_unseen_qsf_heat_norm18,0.18789886166369754,0.20453676636843351,-0.01663790470473598,-0.01717505553202357,-0.016089755529373972,8.134432258876137,0.9794238683127572,729,3189
hcp83,8,unseen,qsf,shortest_path,hcp83_8_unseen_qsf_shortest_path,0.18789886166369754,0.22330171982351743,-0.03540285815981995,-0.03610595795210018,-0.03466305817269256,15.854270261688944,1.0,729,3189
hcp83,8,unseen,qsf,template_qsf,hcp83_8_unseen_qsf_template_qsf,0.18789886166369754,0.5538497350658679,-0.36595087340217036,-0.3736403523168593,-0.35861309976092476,66.07403601243011,1.0,729,3189
hcp83,8,unseen_vs_known,qsf_unseen,qsf_known,hcp83_8_unseen_vs_known_qsf,0.18789886166369754,0.13348052192966198,0.05441833973403554,0.053806337559787226,0.05502990958221867,-40.768749587832374,0.0,729,3189
hcp83,8,unseen_vs_known,heat_raw18_unseen,heat_raw18_known,hcp83_8_unseen_vs_known_heat_raw18,0.19384010093544382,0.14748949813572368,0.04635060279972018,0.04573547960637719,0.04699191117692151,-31.426375020319828,0.0,729,3189
hcp83,8,unseen_vs_known,heat_norm18_unseen,heat_norm18_known,hcp83_8_unseen_vs_known_heat_norm18,0.20453676636843351,0.15335806953625156,0.05117869683218196,0.05054014034304432,0.05181245802135331,-33.37202729986379,0.0,729,3189
hcp83,8,unseen_vs_known,shortest_path_unseen,shortest_path_known,hcp83_8_unseen_vs_known_shortest_path,0.22330171982351743,0.19201460585316768,0.03128711397034981,0.030831121076338622,0.031729497597394005,-16.294132329847244,0.0013717421124828531,729,3189
hcp83,16,known,qsf,heat_raw18,hcp83_16_known_qsf_heat_raw18,0.11838168675399752,0.13460455224241763,-0.016222865488420113,-0.016580866363626854,-0.015859102912457197,12.05224133817061,0.9958847736625515,729,3189
hcp83,16,known,qsf,heat_norm18,hcp83_16_known_qsf_heat_norm18,0.11838168675399752,0.13742118555877164,-0.01903949880477412,-0.01944506305360304,-0.01864701437089135,13.85484976523609,0.9986282578875172,729,3189
hcp83,16,known,qsf,prob6,hcp83_16_known_qsf_prob6,0.11838168675399752,0.1390460837409574,-0.020664396986959866,-0.021036142607832188,-0.020304583295560803,14.861545489808696,1.0,729,3189
hcp83,16,known,qsf,amp12,hcp83_16_known_qsf_amp12,0.11838168675399752,0.12444898934643098,-0.006067302592433454,-0.00623305203597001,-0.00590686282461893,4.875332957139408,0.9958847736625515,729,3189
hcp83,16,known,qsf,prob18,hcp83_16_known_qsf_prob18,0.11838168675399752,0.13500029699720723,-0.016618610243209687,-0.01697611049507108,-0.01625495675929695,12.310054579771407,1.0,729,3189
hcp83,16,known,qsf,amp18,hcp83_16_known_qsf_amp18,0.11838168675399752,0.12275236458962899,-0.0043706778356314615,-0.0045540420303805925,-0.0041882107509260144,3.560565085848242,0.9657064471879286,729,3189
hcp83,16,known,qsf,shortest_path,hcp83_16_known_qsf_shortest_path,0.11838168675399752,0.16834893795070527,-0.04996725119670774,-0.050630403236432406,-0.04932063456833944,29.680764134870163,1.0,729,3189
hcp83,16,known,qsf,moments,hcp83_16_known_qsf_moments,0.11838168675399752,0.20288776035660513,-0.0845060736026076,-0.08520238654255458,-0.08378709938070973,41.65163706971566,1.0,729,3189
hcp83,16,unseen,qsf,heat_raw18,hcp83_16_unseen_qsf_heat_raw18,0.18030198838177486,0.18930495515114246,-0.009002966769367616,-0.009447781793908365,-0.008557324449749337,4.7558009045138645,0.9382716049382716,729,3189
hcp83,16,unseen,qsf,heat_norm18,hcp83_16_unseen_qsf_heat_norm18,0.18030198838177486,0.19816717972162337,-0.01786519133984853,-0.018357220328269818,-0.017365692195170597,9.01521198663914,0.99039780521262,729,3189
hcp83,16,unseen,qsf,shortest_path,hcp83_16_unseen_qsf_shortest_path,0.18030198838177486,0.2079806780897895,-0.02767868970801463,-0.028433794719404083,-0.02698710197810252,13.30829861804047,1.0,729,3189
hcp83,16,unseen,qsf,template_qsf,hcp83_16_unseen_qsf_template_qsf,0.18030198838177486,0.2733330675635321,-0.09303107918175722,-0.09612448976700708,-0.08990396394262652,34.03579377022635,0.9849108367626886,729,3189
hcp83,16,unseen_vs_known,qsf_unseen,qsf_known,hcp83_16_unseen_vs_known_qsf,0.18030198838177486,0.11838168675399752,0.06192030162777734,0.061385120743138524,0.06244207284197012,-52.30564230466704,0.0,729,3189
hcp83,16,unseen_vs_known,heat_raw18_unseen,heat_raw18_known,hcp83_16_unseen_vs_known_heat_raw18,0.18930495515114246,0.13460455224241763,0.054700402908724834,0.05411568053785192,0.05528581584886849,-40.63785510776151,0.0,729,3189
hcp83,16,unseen_vs_known,heat_norm18_unseen,heat_norm18_known,hcp83_16_unseen_vs_known_heat_norm18,0.19816717972162337,0.13742118555877164,0.060745994162851744,0.06013546804402265,0.06135868510154004,-44.20424253789614,0.0,729,3189
hcp83,16,unseen_vs_known,shortest_path_unseen,shortest_path_known,hcp83_16_unseen_vs_known_shortest_path,0.2079806780897895,0.16834893795070527,0.03963174013908422,0.03908329909862671,0.04019327572145801,-23.541425696839813,0.0013717421124828531,729,3189
hcp83,32,known,qsf,heat_raw18,hcp83_32_known_qsf_heat_raw18,0.10455338090039522,0.1190581663614296,-0.014504785461034392,-0.014796318775298245,-0.014200546135877509,12.182940409985513,0.9958847736625515,729,3189
hcp83,32,known,qsf,heat_norm18,hcp83_32_known_qsf_heat_norm18,0.10455338090039522,0.12021560112769988,-0.015662220227304652,-0.015988329874827657,-0.015338896937268275,13.0284422989886,0.9972565157750343,729,3189
hcp83,32,known,qsf,prob6,hcp83_32_known_qsf_prob6,0.10455338090039522,0.1167380168563569,-0.012184635955961686,-0.012450257460317783,-0.011928155192723167,10.437590327540482,1.0,729,3189
hcp83,32,known,qsf,amp12,hcp83_32_known_qsf_amp12,0.10455338090039522,0.10946717810029531,-0.004913797199900084,-0.005047613636408227,-0.0047854979677602015,4.488831524822907,0.9972565157750343,729,3189
hcp83,32,known,qsf,prob18,hcp83_32_known_qsf_prob18,0.10455338090039522,0.1140692332441805,-0.009515852343785266,-0.009745529139340514,-0.009281909447312386,8.342172620215061,1.0,729,3189
hcp83,32,known,qsf,amp18,hcp83_32_known_qsf_amp18,0.10455338090039522,0.10794906067991294,-0.003395679779517715,-0.003592076505705097,-0.0032124720069133545,3.1456316137724314,0.9670781893004116,729,3189
hcp83,32,known,qsf,shortest_path,hcp83_32_known_qsf_shortest_path,0.10455338090039522,0.14696288639337224,-0.04240950549297702,-0.04345071944883238,-0.041606917351909155,28.857289438001686,1.0,729,3189
hcp83,32,known,qsf,moments,hcp83_32_known_qsf_moments,0.10455338090039522,0.18640456822393592,-0.08185118732354067,-0.08250119615456837,-0.08119243833582883,43.91050503934502,1.0,729,3189
hcp83,32,unseen,qsf,heat_raw18,hcp83_32_unseen_qsf_heat_raw18,0.18821873405439743,0.1954101258190889,-0.007191391764691452,-0.0076761775967809625,-0.006720587966528674,3.680153080372751,0.8834019204389575,729,3189
