cohort,source_count,family,truth_group,scored_target_fallback,target_count,clipped_targets,beyond_distance_sum,before_squared_sum,after_squared_sum,error_change_sum
hcp83,8,bounded_residual,all,False,532900,2476,910.5518510343198,12619.381907288993,12589.343061053363,-37.12039081702421
hcp83,8,bounded_residual,all,True,84206,619,671.6121724842758,3738.1701442523463,3738.1565818357153,-0.44421406956426585
hcp83,8,bounded_residual,inside,False,516553,1361,0.0,11532.49818963454,11498.39863642226,-48.8940958740636
hcp83,8,bounded_residual,inside,True,75689,410,0.0,3207.484896567967,3207.2148534728008,-1.4093439658063631
hcp83,8,bounded_residual,outside,False,16347,1115,910.5518510343198,1086.8837176544514,1090.9444246311036,11.773705057039392
hcp83,8,bounded_residual,outside,True,8517,209,671.6121724842758,530.6852476843791,530.9417283629147,0.9651298962420974
hcp83,8,projection,all,False,532900,3076,913.2950465159419,12663.446218787061,12631.243020220907,-43.70200850418313
hcp83,8,projection,all,True,84206,1699,741.0834533406676,3947.933051573368,3946.2850986230524,-6.555436376921166
hcp83,8,projection,inside,False,516298,1714,0.0,11612.25590333143,11573.83143675491,-59.8111759447333
hcp83,8,projection,inside,True,74958,809,0.0,3344.253573890231,3341.656761361175,-11.244500715094787
hcp83,8,projection,outside,False,16602,1362,913.2950465159417,1051.1903154556312,1057.4115834659972,16.109167440550177
hcp83,8,projection,outside,True,9248,890,741.0834533406676,603.6794776831368,604.628337261877,4.689064338173621
hcp83,16,bounded_residual,all,False,533027,2999,339.87478367774673,5797.601461415657,5788.111377200152,-10.658018014163241
hcp83,16,bounded_residual,all,True,84079,3115,573.8515300467568,3720.302778421919,3720.9817238702785,-4.516876515302409
hcp83,16,bounded_residual,inside,False,525764,1055,0.0,5618.42440479765,5606.114060283438,-27.632185064056173
hcp83,16,bounded_residual,inside,True,76785,2026,0.0,3288.107738738447,3284.956449653223,-18.327214396641708
hcp83,16,bounded_residual,outside,False,7263,1944,339.87478367774673,179.17705661800636,181.99731691671275,16.97416704989293
hcp83,16,bounded_residual,outside,True,7294,1089,573.8515300467568,432.19503968347175,436.02527421705537,13.810337881339299
hcp83,16,projection,all,False,533027,5017,466.7070774660028,5931.428649593933,5920.7522837834385,-12.75834238678475
hcp83,16,projection,all,True,84079,5586,1153.4589779138128,3938.390876601538,3933.9902268483424,-23.20766565585135
hcp83,16,projection,inside,False,523168,1786,0.0,5716.690079596718,5700.240380940852,-44.65162547560853
hcp83,16,projection,inside,True,71997,3414,0.0,3183.433373691138,3170.9275630770353,-53.075280976142544
hcp83,16,projection,outside,False,9859,3231,466.7070774660028,214.7385699972148,220.51190284258564,31.89328308882378
hcp83,16,projection,outside,True,12082,2172,1153.4589779138128,754.9575029103995,763.0626637713073,29.86761532029119
hcp83,32,bounded_residual,all,False,533033,5452,236.45995627332616,3227.0167092132547,3216.840971390579,-32.904505016595245
hcp83,32,bounded_residual,all,True,84073,2500,1579.0613186528867,3728.773820827875,3729.8606332836393,-4.045856538268632
hcp83,32,bounded_residual,inside,False,524116,2346,0.0,3140.3858629087977,3129.6796505422317,-38.48420919508941
hcp83,32,bounded_residual,inside,True,66288,1572,0.0,2515.3480179558946,2512.2017605933333,-18.840601324390853
hcp83,32,bounded_residual,outside,False,8917,3106,236.45995627332616,86.63084630445695,87.16132084834717,5.579704178494169
hcp83,32,bounded_residual,outside,True,17785,928,1579.0613186528867,1213.4258028719803,1217.6588726903062,14.79474478612222
hcp83,32,projection,all,False,533033,7983,322.1252502194582,3426.976834804133,3413.5782762263466,-53.7044725639651
hcp83,32,projection,all,True,84073,7197,2355.968706460821,3937.3500218198296,3930.7494674167788,-31.42237940061615
hcp83,32,projection,inside,False,521394,3731,0.0,3309.7502307575564,3294.7773053753976,-66.53052889016158
hcp83,32,projection,inside,True,59930,3881,0.0,2248.8741474828876,2232.607842388578,-67.43862281693417
hcp83,32,projection,outside,False,11639,4252,322.1252502194582,117.22660404657664,118.80097085094924,12.82605632619648
hcp83,32,projection,outside,True,24143,3316,2355.968706460821,1688.4758743369423,1698.141625028201,36.01624341631802
oasis,8,bounded_residual,all,False,533911,3880,470.18681631571917,4302.71228426063,4286.380233632026,-9.57922425682986
oasis,8,bounded_residual,all,True,182,0,0.7513886402675267,16.783315164576607,16.783315164576607,0.0
oasis,8,bounded_residual,inside,False,522572,1228,0.0,4101.274422069127,4080.3819932816073,-33.1190337500147
oasis,8,bounded_residual,inside,True,174,0,0.0,15.627746345823086,15.627746345823086,0.0
oasis,8,bounded_residual,outside,False,11339,2652,470.18681631571917,201.43786219150402,205.99824035041848,23.539809493184844
oasis,8,bounded_residual,outside,True,8,0,0.7513886402675267,1.1555688187535202,1.1555688187535202,0.0
oasis,8,projection,all,False,533911,4952,578.6724747145131,4375.025802112645,4356.3305983131995,-11.274798449303981
oasis,8,projection,all,True,182,52,1.0063948065160373,55.641236483386336,48.54498372733602,-6.6844755815767805
oasis,8,projection,inside,False,520294,1528,0.0,4136.890412952496,4112.690622537166,-40.419035749994535
oasis,8,projection,inside,True,172,43,0.0,48.66405083135343,43.11691573807148,-5.6836649008584885
oasis,8,projection,outside,False,13617,3424,578.6724747145131,238.13538916014815,243.63997577603365,29.144237300690552
oasis,8,projection,outside,True,10,9,1.0063948065160373,6.977185652032912,5.428067989264538,-1.0008106807182915
oasis,16,bounded_residual,all,False,533911,1782,140.20674631164397,2477.0018950252584,2473.450380973627,-2.523239745746306
oasis,16,bounded_residual,all,True,182,0,0.2938501211630211,13.565757805945648,13.565757805945648,0.0
oasis,16,bounded_residual,inside,False,529536,542,0.0,2426.002517770517,2421.3762731055426,-10.15718700600931
oasis,16,bounded_residual,inside,True,176,0,0.0,12.658478289214372,12.658478289214372,0.0
oasis,16,bounded_residual,outside,False,4375,1240,140.20674631164397,50.99937725474151,52.07410786808425,7.633947260263004
oasis,16,bounded_residual,outside,True,6,0,0.2938501211630211,0.9072795167312746,0.9072795167312746,0.0
oasis,16,projection,all,False,533911,2474,189.4115199159797,2555.72016918298,2550.9504670749707,-3.444140134490738
oasis,16,projection,all,True,182,82,0.6873999323625081,60.81608336852565,48.856848044240536,-11.309555283568823
oasis,16,projection,inside,False,528047,740,0.0,2484.8987289770203,2478.708555368801,-14.07686629682282
oasis,16,projection,inside,True,170,70,0.0,52.12884849743049,43.07244615692337,-9.389295616706166
oasis,16,projection,outside,False,5864,1734,189.4115199159797,70.8214402059601,72.24191170616979,10.632726162332082
oasis,16,projection,outside,True,12,12,0.6873999323625081,8.687234871095164,5.78440188731717,-1.9202596668626564
oasis,32,bounded_residual,all,False,533911,2404,162.5420450119388,1351.9841185788346,1349.3078340235559,-5.91396567165836
oasis,32,bounded_residual,all,True,182,0,1.5722861935785242,12.804208368815676,12.804208368815676,0.0
oasis,32,bounded_residual,inside,False,528130,827,0.0,1294.9536877347155,1291.7509453855416,-12.183189884994421
oasis,32,bounded_residual,inside,True,158,0,0.0,9.536529379374272,9.536529379374272,0.0
oasis,32,bounded_residual,outside,False,5781,1577,162.5420450119388,57.03043084411911,57.55688863801424,6.269224213336061
oasis,32,bounded_residual,outside,True,24,0,1.5722861935785242,3.2676789894414036,3.2676789894414036,0.0
oasis,32,projection,all,False,533911,3083,197.71880115248047,1426.6292295486894,1423.4369436603045,-7.267838714859172
oasis,32,projection,all,True,182,124,2.0055739641830477,65.3551982144752,45.26504322771346,-19.183822133527812
oasis,32,projection,inside,False,527024,1011,0.0,1358.1948988148913,1354.0978830819793,-16.199237638337642
oasis,32,projection,inside,True,153,95,0.0,47.82714465576416,33.03377607649254,-15.453051803967828
oasis,32,projection,outside,False,6887,2072,197.71880115248044,68.43433073379799,69.3390605783252,8.93139892347847
oasis,32,projection,outside,True,29,29,2.0055739641830477,17.52805355871104,12.231267151220921,-3.730770329559984
