cohort,split_id,mask_id,source_count,encoder,family,alpha,radius,validation_nrmse,validation_nmse,validation_se,alpha_over_inner_N,policy
hcp83,1,1,8,qsf,bounded_residual,0.1,4.0,0.11059361485538309,0.01258752523976919,0.0014568753112568996,6.5651260504201685e-06,heat_discrimination
hcp83,1,1,8,heat_raw18,bounded_residual,0.001,1.0,0.1300000160369178,0.01711072226419742,0.0011199439149396481,6.565126050420168e-08,qsf_discrimination
hcp83,1,1,8,heat_norm18,bounded_residual,0.01,2.0,0.13562801029643992,0.018709282036193747,0.0013678381866639108,6.565126050420168e-07,heat_discrimination
hcp83,1,1,16,qsf,bounded_residual,0.1,4.0,0.09067797592848546,0.008516761035386611,0.0013234733273519428,6.5651260504201685e-06,heat_discrimination
hcp83,1,1,16,heat_raw18,bounded_residual,0.01,1.0,0.11444444889111431,0.01339510212408243,0.001330883706798293,6.565126050420168e-07,spectral
hcp83,1,1,16,heat_norm18,bounded_residual,0.01,1.0,0.11003691903908745,0.012368617125867993,0.0012452136321142078,6.565126050420168e-07,spectral
hcp83,1,1,32,qsf,bounded_residual,1.0,4.0,0.0784435173001114,0.006356990125985259,0.0011008782196943985,6.565126050420168e-05,qsf_discrimination
hcp83,1,1,32,heat_raw18,bounded_residual,0.01,4.0,0.10201662749934827,0.010718100629516126,0.0013599464782346306,6.565126050420168e-07,qsf_discrimination
hcp83,1,1,32,heat_norm18,bounded_residual,0.01,4.0,0.09876379981510848,0.010041166582506247,0.0013067554070952966,6.565126050420168e-07,qsf_discrimination
hcp83,1,2,8,qsf,bounded_residual,0.1,2.0,0.1430974576746542,0.0206448172741327,0.0009998061752137394,6.572461386789353e-06,heat_discrimination
hcp83,1,2,8,heat_raw18,bounded_residual,0.001,1.0,0.15483099521552254,0.024161476284151124,0.0010602088875545843,6.572461386789353e-08,qsf_discrimination
hcp83,1,2,8,heat_norm18,bounded_residual,0.001,2.0,0.15543554071865434,0.024322818923795654,0.0009838324156050422,6.572461386789353e-08,heat_discrimination
hcp83,1,2,16,qsf,bounded_residual,1.0,4.0,0.13538574612532744,0.01848179309850392,0.0009527305513762058,6.572461386789353e-05,qsf_discrimination
hcp83,1,2,16,heat_raw18,bounded_residual,0.001,1.0,0.1453119765224382,0.021256979191770255,0.0009174520582797804,6.572461386789353e-08,spectral
hcp83,1,2,16,heat_norm18,bounded_residual,0.001,1.0,0.14596480055302716,0.021438020444235786,0.0008874033943088844,6.572461386789353e-08,qsf_discrimination
hcp83,1,2,32,qsf,bounded_residual,1.0,1.0,0.1263312748630942,0.01606744507423122,0.0008012418400764518,6.572461386789353e-05,qsf_discrimination
hcp83,1,2,32,heat_raw18,bounded_residual,0.001,1.0,0.13485833853924017,0.01830813284674899,0.0008499347775560601,6.572461386789353e-08,qsf_discrimination
hcp83,1,2,32,heat_norm18,bounded_residual,0.01,1.0,0.13694013006251912,0.01886355975192876,0.000812698804942053,6.572461386789352e-07,qsf_discrimination
hcp83,1,3,8,qsf,bounded_residual,0.1,1.0,0.12003711955491607,0.01467919825583015,0.0012684077588816965,6.811061163329247e-06,heat_discrimination
hcp83,1,3,8,heat_raw18,bounded_residual,0.001,1.0,0.1302802418257482,0.017173440243206578,0.001092449282442527,6.811061163329247e-08,heat_discrimination
hcp83,1,3,8,heat_norm18,bounded_residual,0.001,1.0,0.13335400166888073,0.017959936830235185,0.0010254124290212851,6.811061163329247e-08,heat_discrimination
hcp83,1,3,16,qsf,bounded_residual,0.1,4.0,0.1090849814816617,0.012154606959603732,0.0012321916564680113,6.811061163329247e-06,heat_discrimination
hcp83,1,3,16,heat_raw18,bounded_residual,0.001,1.0,0.1214183523860138,0.014955574603458602,0.0011264099823596217,6.811061163329247e-08,qsf_discrimination
hcp83,1,3,16,heat_norm18,bounded_residual,0.001,4.0,0.12385181550999025,0.015557301316595246,0.0011392068864810598,6.811061163329247e-08,random
hcp83,1,3,32,qsf,bounded_residual,0.1,4.0,0.09966136702175496,0.010145545320947935,0.0011264071736504287,6.811061163329247e-06,heat_discrimination
hcp83,1,3,32,heat_raw18,bounded_residual,0.001,2.0,0.11242874947277667,0.012853846386839089,0.0011276362731150026,6.811061163329247e-08,heat_discrimination
hcp83,1,3,32,heat_norm18,bounded_residual,0.01,1.0,0.11113546523092857,0.012570325801175002,0.0011423507745623946,6.811061163329247e-07,qsf_discrimination
hcp83,2,1,8,qsf,bounded_residual,0.1,4.0,0.10664029568493681,0.011586669004380674,0.0011266443357290305,6.554368486596317e-06,heat_discrimination
hcp83,2,1,8,heat_raw18,bounded_residual,0.001,2.0,0.12696776872123477,0.01628837270330169,0.000995725804242846,6.554368486596317e-08,heat_discrimination
hcp83,2,1,8,heat_norm18,bounded_residual,0.001,2.0,0.1306130885460577,0.017314433861105545,0.0012275317071676769,6.554368486596317e-08,random
hcp83,2,1,16,qsf,bounded_residual,0.1,4.0,0.09026967162310798,0.008341301886764838,0.0010677861625260955,6.554368486596317e-06,heat_discrimination
